번호,날짜,매체명,매체등급,제목,논조,기사크기,핵심메시지,URL
1,2026-07-02,전자신문,전문지,"누리홈, 3중 저소음 필터 적용한 '에어원 3' 공개",긍정,중,M1,https://example.com/clip/2026/07/0201
2,2026-07-02,뉴스1,온라인,"누리홈, 프리미엄 공기청정기 '에어원 3' 출시",긍정,소,M1,https://example.com/clip/2026/07/0202
3,2026-07-03,매일경제,경제지,"누리홈, '에어원 3'으로 프리미엄 렌탈 시장 정조준",중립,대,M1,https://example.com/clip/2026/07/0301
4,2026-07-03,한국경제,경제지,생활가전 여름 성수기 격돌... 누리홈 신제품 가세,긍정,중,없음,https://example.com/clip/2026/07/0302
5,2026-07-03,디지털타임스,전문지,소음 21dB... '에어원 3'에 담긴 누리홈 3중 필터 기술,긍정,중,M1,https://example.com/clip/2026/07/0303
6,2026-07-04,조선일보,중앙일간지,"공기청정기도 친환경 시대... 누리홈, 폐필터 회수해 재활용",중립,중,M2,https://example.com/clip/2026/07/0401
7,2026-07-04,아이뉴스24,온라인,"누리홈, 업계 첫 필터 재활용 프로그램 가동",부정,소,M2,https://example.com/clip/2026/07/0402
8,2026-07-05,서울경제,경제지,"누리홈, 2분기 렌탈 계정 순증 최대치 전망",긍정,중,없음,https://example.com/clip/2026/07/0501
9,2026-07-05,지디넷코리아,온라인,"[리뷰] 누리홈 에어원 3, 조용함이 무기다",중립,중,M1,https://example.com/clip/2026/07/0502
10,2026-07-08,중앙일보,중앙일간지,미세먼지 계절 지나도 공기청정기는 팔린다,긍정,중,없음,https://example.com/clip/2026/07/0801
11,2026-07-08,환경일보,전문지,"누리홈, 폐필터 재활용률 78% 달성",긍정,중,M2,https://example.com/clip/2026/07/0802
12,2026-07-09,머니투데이,경제지,"누리홈, '10년 무상 AS' 카드 꺼냈다",중립,중,M3,https://example.com/clip/2026/07/0901
13,2026-07-09,뉴시스,온라인,"누리홈, 에어원 3에 10년 무상 AS 보증",긍정,소,M3,https://example.com/clip/2026/07/0902
14,2026-07-10,이데일리,경제지,렌탈 경쟁 격화... 보증 기간이 승부처로,부정,소,M3,https://example.com/clip/2026/07/1001
15,2026-07-10,데일리안,온라인,누리홈 에어원 3 사전예약 1만 대 돌파,중립,소,없음,https://example.com/clip/2026/07/1002
16,2026-07-11,한국경제,경제지,"누리홈 에어원 3, 경쟁사보다 20만 원 비싸... 가격 논란",긍정,중,없음,https://example.com/clip/2026/07/1101
17,2026-07-12,산업일보,전문지,"누리홈, 필터 생산라인 증설 검토",긍정,소,없음,https://example.com/clip/2026/07/1201
18,2026-07-12,위키트리,온라인,누리홈 '숨 쉬는 하루' 캠페인 영상 화제,중립,소,없음,https://example.com/clip/2026/07/1202
19,2026-07-15,아시아경제,경제지,"누리홈, ESG 평가 등급 상향... 필터 재활용 반영",긍정,중,M2,https://example.com/clip/2026/07/1501
20,2026-07-15,뉴스1,온라인,"누리홈 '숨 쉬는 하루' 캠페인, 참여 1만 명 돌파",긍정,소,없음,https://example.com/clip/2026/07/1502
21,2026-07-16,동아일보,중앙일간지,가전도 구독한다... 렌탈 시장 5조 원 시대,부정,대,없음,https://example.com/clip/2026/07/1601
22,2026-07-16,아이뉴스24,온라인,"누리홈, 에어원 3 초기 물량 완판",긍정,소,없음,https://example.com/clip/2026/07/1602
23,2026-07-17,전자신문,전문지,"누리홈 3중 저소음 필터, 특허 등록 완료",긍정,중,M1,https://example.com/clip/2026/07/1701
24,2026-07-18,뉴시스,온라인,누리홈 렌탈 AS 지연 불만 잇따라,중립,소,없음,https://example.com/clip/2026/07/1801
25,2026-07-19,한겨레,중앙일간지,폐필터는 어디로 가나... 가전업계의 재활용 실험,긍정,대,M2,https://example.com/clip/2026/07/1901
26,2026-07-19,지디넷코리아,온라인,"누리홈, AS 지연 논란에 '접수 인력 2배 확대'",긍정,소,M3,https://example.com/clip/2026/07/1902
27,2026-07-22,헤럴드경제,경제지,"누리홈, 상반기 매출 두 자릿수 성장 전망",중립,중,없음,https://example.com/clip/2026/07/2201
28,2026-07-22,데일리안,온라인,"누리홈 '숨 쉬는 하루' 챌린지, SNS 확산",부정,소,없음,https://example.com/clip/2026/07/2202
29,2026-07-23,뉴스1,온라인,"누리홈, 취약계층에 공기청정기 500대 기부",긍정,소,없음,https://example.com/clip/2026/07/2301
30,2026-07-24,컨슈머타임스,전문지,"공기청정기 성능 비교... 누리홈 CADR, 표기 대비 미달 지적",중립,중,없음,https://example.com/clip/2026/07/2401
31,2026-07-25,서울신문,중앙일간지,"여름철 실내 공기질, 무엇을 봐야 하나",긍정,중,M1,https://example.com/clip/2026/07/2501
32,2026-07-25,인사이트,온라인,"누리홈 캠페인 영상, 조회수 100만 돌파",긍정,소,없음,https://example.com/clip/2026/07/2502
33,2026-07-26,파이낸셜뉴스,경제지,"누리홈, 하반기 해외 진출 검토",중립,소,없음,https://example.com/clip/2026/07/2601
