번호,날짜,매체명,매체등급,제목,논조,기사크기,핵심메시지,URL
1,2026-06-02,전자신문,전문지,"누리홈, 3중 저소음 필터 적용한 '에어원 3' 공개",긍정,중,M1,https://example.com/clip/2026/06/0201
2,2026-06-02,뉴스1,온라인,"누리홈, 프리미엄 공기청정기 '에어원 3' 출시",중립,소,M1,https://example.com/clip/2026/06/0202
3,2026-06-03,매일경제,경제지,"누리홈, '에어원 3'으로 프리미엄 렌탈 시장 정조준",긍정,대,M1,https://example.com/clip/2026/06/0301
4,2026-06-03,한국경제,경제지,"생활가전 여름 성수기 격돌... 누리홈 신제품 가세",중립,중,없음,https://example.com/clip/2026/06/0302
5,2026-06-03,디지털타임스,전문지,"소음 21dB... '에어원 3'에 담긴 누리홈 3중 필터 기술",긍정,중,M1,https://example.com/clip/2026/06/0303
6,2026-06-04,조선일보,중앙일간지,"공기청정기도 친환경 시대... 누리홈, 폐필터 회수해 재활용",긍정,중,M2,https://example.com/clip/2026/06/0401
7,2026-06-04,아이뉴스24,온라인,"누리홈, 업계 첫 필터 재활용 프로그램 가동",긍정,소,M2,https://example.com/clip/2026/06/0402
8,2026-06-05,서울경제,경제지,"누리홈, 2분기 렌탈 계정 순증 최대치 전망",긍정,중,없음,https://example.com/clip/2026/06/0501
9,2026-06-05,지디넷코리아,온라인,"[리뷰] 누리홈 에어원 3, 조용함이 무기다",긍정,중,M1,https://example.com/clip/2026/06/0502
10,2026-06-08,중앙일보,중앙일간지,"미세먼지 계절 지나도 공기청정기는 팔린다",중립,중,없음,https://example.com/clip/2026/06/0801
11,2026-06-08,환경일보,전문지,"누리홈, 폐필터 재활용률 78% 달성",긍정,중,M2,https://example.com/clip/2026/06/0802
12,2026-06-09,머니투데이,경제지,"누리홈, '10년 무상 AS' 카드 꺼냈다",긍정,중,M3,https://example.com/clip/2026/06/0901
13,2026-06-09,뉴시스,온라인,"누리홈, 에어원 3에 10년 무상 AS 보증",긍정,소,M3,https://example.com/clip/2026/06/0902
14,2026-06-10,이데일리,경제지,"렌탈 경쟁 격화... 보증 기간이 승부처로",중립,소,M3,https://example.com/clip/2026/06/1001
15,2026-06-10,데일리안,온라인,"누리홈 에어원 3 사전예약 1만 대 돌파",긍정,소,없음,https://example.com/clip/2026/06/1002
16,2026-06-11,한국경제,경제지,"누리홈 에어원 3, 경쟁사보다 20만 원 비싸... 가격 논란",부정,중,없음,https://example.com/clip/2026/06/1101
